ts,event,symbol,side,volume,price,sl,tp,retcode,comment,atr,dist_up,dist_low,near_thr,adx_h1,confidence,ticket,extra
2025-08-13T21:16:23.046699,session_start,,,,,,,,,,,,,,,,baseline=2902.73
2025-08-13T21:37:41.390620,signal,EURUSD,BUY,,,,,,,0.00046399999999997555,0.00019999999999997797,0.0008299999999998864,0.00016239999999999142,30.258630770588926,0.6500000000000001,,
2025-08-13T21:37:41.599343,order,EURUSD,BUY,0.23,1.17052,1.16978,1.172,10009,Request executed,,,,,,,4339621731,
2025-08-13T21:49:56.325674,signal,USDJPY,SELL,,,,,,,0.01649999999999636,0.05699999999998795,0.04099999999999682,0.0057749999999987265,27.0927829925373,0.6500000000000001,,
2025-08-13T21:49:56.520349,order,USDJPY,SELL,0.98,147.351,147.377,147.298,10009,Request executed,,,,,,,4339627882,
